ed_num,ed_name,pd_num,pd_sufx,pd_ltr,type,adv_num,site_name,site_name_fr,addr,addr_fr,municipality,municipality_fr,province,post_code
11001,Cardigan,1,0,,Ordinary,601,Eastern Kings Community Centre,Eastern Kings Community Centre,85 Munn's Road,85 Munn's Road,Bothwell,Bothwell,PE,C0A 2B0
11001,Cardigan,2,0,,Ordinary,601,Eastern Kings Community Centre,Eastern Kings Community Centre,85 Munn's Road,85 Munn's Road,Bothwell,Bothwell,PE,C0A 2B0
11001,Cardigan,3,0,,Ordinary,601,St. Margaret's Community Hall,St. Margaret's Community Hall,11394 Northside Road,11394 Northside Road,St. Margaret's,St. Margaret's,PE,C0A 2B0
11001,Cardigan,4,0,,Ordinary,601,St. Mary's Church Parish Hall,St. Mary's Church Parish Hall,66 Main Street,"66, rue Main",Souris,Souris,PE,C0A 2B0
11001,Cardigan,5,0,,Ordinary,601,St. Mary's Church Parish Hall,St. Mary's Church Parish Hall,66 Main Street,"66, rue Main",Souris,Souris,PE,C0A 2B0
11001,Cardigan,6,0,,Ordinary,601,St. Mary's Church Parish Hall,St. Mary's Church Parish Hall,66 Main Street,"66, rue Main",Souris,Souris,PE,C0A 2B0
11001,Cardigan,7,0,,Ordinary,601,Souris Fire Hall,Souris Fire Hall,135 Main Street,"135, rue Main",Souris,Souris,PE,C0A 2B0
11001,Cardigan,8,0,,Ordinary,601,Fortune Community Centre,Fortune Community Centre,220 Fortune Wharf Road North,220 Fortune Wharf Road Nord,Fortune Bridge,Fortune Bridge,PE,C0A 2B0
11001,Cardigan,9,0,,Ordinary,601,Fortune Community Centre,Fortune Community Centre,220 Fortune Wharf Road North,220 Fortune Wharf Road Nord,Fortune Bridge,Fortune Bridge,PE,C0A 2B0
11001,Cardigan,10,0,,Ordinary,601,Selkirk Community Centre (Armdale School),Selkirk Community Centre (Armdale School),1657 Selkirk Road,1657 Selkirk Road,Selkirk,Selkirk,PE,C0A 2B0
11001,Cardigan,11,0,,Ordinary,600,Dr. Roddy Community Centre,Dr. Roddy Community Centre,5549 St. Peters Highway,5549 St. Peters Highway,St. Peter's,St. Peter's,PE,C0A 2A0
11001,Cardigan,12,0,,Ordinary,601,Dr. Roddy Community Centre,Dr. Roddy Community Centre,5549 St. Peters Highway,5549 St. Peters Highway,St. Peter's,St. Peter's,PE,C0A 2A0
11001,Cardigan,13,0,,Ordinary,600,Circle Club,Circle Club,1917 Cardigan Road,1917 Cardigan Road,St. Peters,St. Peters,PE,C0A 2A0
11001,Cardigan,14,0,,Ordinary,600,Morell Fire Hall,Morell Fire Hall,15 Park Street,"15, rue Park",Morell,Morell,PE,C0A 1S0
11001,Cardigan,15,0,,Ordinary,600,Morell Fire Hall,Morell Fire Hall,15 Park Street,"15, rue Park",Morell,Morell,PE,C0A 1S0
11001,Cardigan,16,0,,Ordinary,600,St. John's United Church Hall,St. John's United Church Hall,126 Main Street,"126, rue Main",Mount Stewart,Mount Stewart,PE,C0A 1T0
11001,Cardigan,17,0,,Ordinary,600,St. John's United Church Hall,St. John's United Church Hall,126 Main Street,"126, rue Main",Mount Stewart,Mount Stewart,PE,C0A 1T0
11001,Cardigan,18,0,,Ordinary,600,Tracadie Community Centre,Tracadie Community Centre,148 Station Road,148 Station Road,Tracadie,Tracadie,PE,C0A 1T0
